rt,responses,type,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,key_press,comparison_type,correct_side
null,,,html-keyboard-response,217,861856,0.0-217.0,"<h1 style=""font-size: 35px"">MISSILE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">FLUTE</h1>",null,,
535.83,,,html-keyboard-response,218,863156,0.0-218.0,"<h1 style=""font-size: 35px;"">MISSILE<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>ROBOT</h1>",65,"0,16",0
null,,,html-keyboard-response,219,867921,0.0-219.0,"<h1 style=""font-size: 35px"">CHEST</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SPACE</h1>",null,,
1409.305,,,html-keyboard-response,220,870094,0.0-220.0,"<h1 style=""font-size: 35px;"">ARMY<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>SHORTS</h1>",65,"68,many",1
null,,,html-keyboard-response,221,874862,0.0-221.0,"<h1 style=""font-size: 35px"">FIREMAN</h1><h1 style=""font-size: 35px; margin-top: 45px;"">SHELF</h1>",null,,
973.055,,,html-keyboard-response,222,876591,0.0-222.0,"<h1 style=""font-size: 35px;"">CHEST<span style=""color: #ff0000; padding-left: 50px; padding-right: 50px;""> ? </span>DAISY</h1>",65,"2,68",0
3730.59,"{""name"":""Ricardo""}",NAME,survey-html-form,0,3738,0.0-0.0-0.0,,,,
2472.415,,,html-keyboard-response,1,6415,0.0-1.0,Welcome to the <strong>Judgment of Recency</strong> experiment! <p>Press the Space Bar to see the instructions.</p>,32,,
25162.69,,,html-keyboard-response,2,31782,0.0-2.0,"<p>In this experiment, you will encounter a number of study and question cards.<p>The <strong>study cards</strong> will have two words on it. Take note of these words; you will be asked to judge how recently you have seen them. You will have four seconds to look at the study card.</p><p>The <strong>question cards</strong> will also show you two words (with a red question mark between the words to show that it is a question card). When you encounter a question card, indicate which of the two words shown have been seen on a study card most recently. If a word has not been seen on a study card yet, treat the word as if it occurred a very long time ago. You will indicate which word occurred most recently with the ‘A’ key for the word on the left side and the ‘L’ key for the word on the right side.</p><p>Each word will be seen at most twice: once on a study card and once on a question card.</p><p>Press the Space Bar to begin.</p>",32,,
null,,,html-keyboard-response,3,36541,0.0-3.0,"<h1 style=""font-size: 35px"">CUSTARD</h1><h1 style=""font-size: 35px; margin-top: 45px;"">MESSAGE</h1>",null,,
null,,,html-keyboard-response,4,41299,0.0-4.0,"<h1 style=""font-size: 35px"">FRAGRANCE</h1><h1 style=""font-size: 35px; margin-top: 45px;"">RELISH</h1>",null,,
null,,,html-keyboard-response,5,46053,0.0-5.0,"<h1 style=""font-size: 35px"">CHIPMUNK</h1><h1 style=""font-size: 35px; margin-top: 45px;"">CLOCK</h1>",null,,
null,,,html-keyboard-response,6,50809,0.0-6.0,"<h1 style=""font-size: 35px"">HORNET</h1><h1 style=""font-size: 35px; margin-top: 45px;"">PORTRAIT</h1>",null,,
